Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
11/1985;-;33,024,000,000 ;11,862 ;-;-;-;-
12/1985;-;43,857,000,000 ;11,608 ;-;-;-;-
01/1986;-;50,488,000,000 ;9,868 ;-;-;-;-
02/1986;-;51,995,000,000 ;9,680 ;-;-;-;-
03/1986;-;58,997,000 ;10,072 ;-;-;-;-
04/1986;-;80,889,000 ;10,327 ;-;-;-;-
05/1986;-;100,012,000 ;10,419 ;-;-;-;-
06/1986;-;114,675,000 ;10,391 ;-;-;-;-
07/1986;-;126,648,000 ;9,499 ;-;-;-;-
08/1986;-;137,694,000 ;9,105 ;-;-;-;-
09/1986;-;152,379,000 ;9,025 ;-;-;-;-
10/1986;-;154,476,000 ;8,006 ;-;-;-;-
11/1986;-;159,954,000 ;7,347 ;-;-;-;-
12/1986;-;171,529,000 ;6,760 ;-;-;-;-
01/1987;-;171,670,000 ;5,380 ;-;-;-;-
02/1987;-;153,646,000 ;4,965 ;-;-;-;-
03/1987;-;162,069,000 ;4,859 ;-;-;-;-
04/1987;-;172,266,000 ;5,169 ;-;-;-;-
05/1987;-;172,348,000 ;5,770 ;-;-;-;-
06/1987;-;164,413,000 ;5,630 ;-;-;-;-
07/1987;-;200,682,000 ;6,474 ;-;-;-;-
08/1987;-;246,345,000 ;7,340 ;-;-;-;-
09/1987;-;285,984,000 ;7,386 ;-;-;-;-
10/1987;-;323,695,000 ;7,341 ;-;-;-;-
11/1987;-;367,846,000 ;7,843 ;-;-;-;-
12/1987;-;466,213,000 ;7,458 ;-;-;-;-
01/1988;-;501,000,000 ;7,422 ;-;-;-;-
02/1988;-;500,000,000 ;7,272 ;-;-;-;-
03/1988;-;527,000,000 ;6,847 ;-;-;-;-
04/1988;-;615,000,000 ;7,574 ;-;-;-;-
05/1988;-;725,000,000 ;8,656 ;-;-;-;-
06/1988;-;837,000,000 ;7,435 ;-;-;-;-
07/1988;-;978,000,000 ;7,869 ;-;-;-;-
08/1988;-;1,102,000,000 ;8,945 ;-;-;-;-
09/1988;-;1,330,000,000 ;9,334 ;-;-;-;-
10/1988;-;1,679,000,000 ;9,809 ;-;-;-;-
11/1988;-;2,052,000,000 ;9,488 ;-;-;-;-
12/1988;-;3,112,000,000 ;9,140 ;-;-;-;-
01/1989;-;3,954,000 ;9,498 ;-;-;-;-
02/1989;-;5,006,000 ;9,403 ;-;-;-;-
03/1989;-;5,640,000 ;10,520 ;-;-;-;-
04/1989;-;6,642,000 ;9,775 ;-;-;-;-
05/1989;-;8,193,000 ;8,681 ;-;-;-;-
06/1989;-;9,708,000 ;8,564 ;-;-;-;-
07/1989;-;10,739,000 ;9,460 ;-;-;-;-
08/1989;-;12,765,000 ;10,116 ;-;-;-;-
09/1989;-;16,044,000 ;9,890 ;-;-;-;-
10/1989;-;21,006,000 ;10,012 ;-;-;-;-
11/1989;-;28,730,000 ;9,426 ;-;-;-;-
12/1989;-;52,685,000 ;9,679 ;-;-;-;-
01/1990;1,283.95 ;73,750,000 ;9,044 ;-;-;-;-
02/1990;2,004.37 ;110,513,000 ;8,808 ;-;-;-;-
03/1990;3,674.06 ;208,223,000 ;7,385 ;-;-;-;-
04/1990;3,674.06 ;487,912,000 ;8,794 ;-;-;-;-
05/1990;3,674.06 ;660,646,000 ;9,963 ;-;-;-;-
06/1990;3,857.76 ;753,760,000 ;10,173 ;-;-;-;-
07/1990;4,904.76 ;760,895,000 ;10,521 ;-;-;-;-
08/1990;5,203.46 ;769,507,000 ;10,533 ;-;-;-;-
09/1990;6,056.31 ;960,068,000 ;10,171 ;-;-;-;-
10/1990;6,425.14 ;1,016,724,000 ;10,027 ;-;-;-;-
11/1990;8,329.55 ;1,032,044,000 ;8,753 ;-;-;-;-
12/1990;8,836.82 ;1,390,266,000 ;9,973 ;-;-;-;-
01/1991;12,325.60 ;1,444,354,000 ;9,840 ;-;-;-;-
02/1991;15,895.46 ;1,644,634,000 ;9,805 ;-;-;-;-
03/1991;17,000.00 ;1,993,154,000 ;8,663 ;-;-;-;-
04/1991;20,000.00 ;2,123,241,000 ;8,808 ;-;-;-;-
05/1991;23,131.68 ;2,228,653,000 ;9,665 ;-;-;-;-
06/1991;23,131.68 ;2,422,027,000 ;10,401 ;-;-;-;-
07/1991;23,131.68 ;2,704,663,000 ;10,113 ;-;-;-;-
08/1991;39,293.28 ;2,810,860,000 ;9,261 ;-;-;-;-
09/1991;42,000.00 ;3,270,615,000 ;7,956 ;-;-;-;-
10/1991;42,000.00 ;3,607,589,000 ;7,987 ;-;-;-;-
11/1991;42,000.00 ;3,972,694,000 ;7,863 ;-;-;-;-
12/1991;63,000.00 ;5,528,617,000 ;9,406 ;-;-;-;-
01/1992;96,037.33 ;6,090,236,364 ;11,866 ;-;-;-;-
02/1992;96,037.33 ;6,778,769,750 ;14,378 ;-;-;-;-
03/1992;96,037.33 ;7,926,631,250 ;17,063 ;-;-;-;-
04/1992;96,037.33 ;9,300,857,895 ;18,518 ;-;-;-;-
05/1992;230,000.00 ;11,178,772,000 ;20,512 ;-;-;-;-
06/1992;230,000.00 ;13,947,925,429 ;21,703 ;-;-;-;-
07/1992;230,000.00 ;16,944,465,957 ;22,705 ;-;-;-;-
08/1992;230,000.00 ;19,685,796,429 ;23,109 ;-;-;-;-
09/1992;522,186.94 ;23,567,792,095 ;21,964 ;-;-;-;-
10/1992;522,186.94 ;31,389,404,952 ;24,124 ;-;-;-;-
11/1992;522,186.94 ;37,608,245,550 ;24,481 ;-;-;-;-
12/1992;522,186.94 ;59,295,212,136 ;23,754 ;-;-;-;-
01/1993;1,250,700.00 ;63,708,025,800 ;23,313 ;-;-;-;-
02/1993;1,250,700.00 ;75,301,149,889 ;22,890 ;-;-;-;-
03/1993;1,709,400.00 ;90,025,908,739 ;22,309 ;-;-;-;-
04/1993;1,709,400.00 ;112,237,200,263 ;22,737 ;-;-;-;-
05/1993;3,303,300.00 ;139,420,623,571 ;23,981 ;-;-;-;-
06/1993;3,303,300.00 ;184,232,403,429 ;24,476 ;-;-;-;-
07/1993;4,639,800.00 ;238,540,093,818 ;25,937 ;-;-;-;-
08/1993;5,534.00 ;298,083,996 ;27,086 ;-;-;-;-
09/1993;9,606.00 ;389,367,134 ;26,948 ;-;-;-;-
