Date;3546 - International reserves - Total - monthly - US$ (million)
03/2019;384,165
04/2019;383,799
05/2019;386,162
06/2019;388,092
07/2019;385,730
08/2019;386,478
09/2019;376,434
10/2019;369,836
11/2019;366,376
12/2019;356,884
01/2020;359,394
02/2020;362,460
03/2020;343,165
04/2020;339,317
05/2020;345,706
06/2020;348,781
07/2020;354,664
08/2020;356,092
09/2020;356,606
10/2020;354,546
11/2020;356,004
12/2020;355,620
01/2021;355,416
02/2021;356,070
03/2021;347,413
04/2021;350,996
05/2021;353,448
06/2021;352,486
07/2021;355,671
08/2021;370,395
09/2021;368,886
10/2021;367,927
11/2021;367,772
12/2021;362,204
01/2022;358,398
02/2022;357,740
03/2022;353,169
04/2022;345,097
05/2022;346,415
06/2022;341,958
07/2022;346,403
08/2022;339,664
09/2022;327,580
10/2022;325,546
11/2022;331,505
12/2022;324,703
01/2023;331,122
02/2023;328,098
03/2023;341,158
04/2023;345,725
05/2023;343,489
06/2023;343,620
07/2023;345,476
08/2023;344,177
09/2023;340,324
10/2023;340,247
11/2023;348,406
12/2023;355,034
01/2024;355,066
02/2024;352,705
Source;BCB-DSTAT
