Date;188 - National Consumer Price Index (INPC) - Monthly % var.;1635 - Broad national consumer price index (IPCA) - Food and beverages - Monthly % var.;1636 - Broad national consumer price index (IPCA) - Housing - Monthly % var.;1639 - Broad national consumer price index (IPCA) - Transport - Monthly % var.;10844 - Broad National Consumer Price Index (IPCA) - Services - Monthly % var.;13522 - Broad national consumer price index (IPCA) - in 12 months - %;24369 - Unemployment rate - PNADC - %,
08/2015;0.25 ;-0.01 ;0.29 ;-0.27 ;0.32 ;9.53 ;8.9,
09/2015;0.51 ;0.24 ;1.30 ;0.71 ;0.67 ;9.49 ;9.0,
10/2015;0.77 ;0.77 ;0.75 ;1.72 ;0.62 ;9.93 ;9.1,
11/2015;1.11 ;1.83 ;0.76 ;1.08 ;0.46 ;10.48 ;9.1,
12/2015;0.90 ;1.50 ;0.49 ;1.36 ;0.97 ;10.67 ;9.1,
01/2016;1.51 ;2.28 ;0.81 ;1.77 ;0.66 ;10.71 ;9.6,
02/2016;0.95 ;1.06 ;-0.15 ;0.62 ;1.05 ;10.36 ;10.4,
03/2016;0.44 ;1.24 ;-0.64 ;0.16 ;0.24 ;9.39 ;11.1,
04/2016;0.64 ;1.09 ;-0.38 ;0.03 ;0.58 ;9.28 ;11.3,
05/2016;0.98 ;0.78 ;1.79 ;-0.58 ;0.37 ;9.32 ;11.3,
06/2016;0.47 ;0.71 ;0.63 ;-0.53 ;0.33 ;8.84 ;11.4,
07/2016;0.64 ;1.32 ;-0.29 ;0.40 ;0.62 ;8.74 ;11.7,
08/2016;0.31 ;0.30 ;0.30 ;0.27 ;0.59 ;8.97 ;11.9,
09/2016;0.08 ;-0.29 ;0.63 ;-0.10 ;0.33 ;8.48 ;11.9,
10/2016;0.17 ;-0.05 ;0.42 ;0.75 ;0.47 ;7.87 ;11.9,
11/2016;0.07 ;-0.20 ;0.30 ;0.28 ;0.41 ;6.99 ;12.0,
12/2016;0.14 ;0.08 ;-0.59 ;1.11 ;0.65 ;6.29 ;12.2,
01/2017;0.42 ;0.35 ;0.17 ;0.77 ;0.36 ;5.35 ;12.7,
02/2017;0.24 ;-0.45 ;0.24 ;0.24 ;0.84 ;4.76 ;13.3,
03/2017;0.32 ;0.34 ;1.18 ;-0.86 ;0.34 ;4.57 ;13.9,
04/2017;0.08 ;0.58 ;-1.09 ;-0.06 ;0.49 ;4.08 ;13.7,
05/2017;0.36 ;-0.35 ;2.14 ;-0.42 ;0.05 ;3.60 ;13.4,
06/2017;-0.30 ;-0.50 ;-0.77 ;-0.52 ;0.43 ;3.00 ;13.1,
07/2017;0.17 ;-0.47 ;1.64 ;0.34 ;0.33 ;2.71 ;12.9,
08/2017;-0.03 ;-1.07 ;0.57 ;1.53 ;0.01 ;2.46 ;12.7,
09/2017;-0.02 ;-0.41 ;-0.12 ;0.79 ;0.50 ;2.54 ;12.5,
10/2017;0.37 ;-0.05 ;1.33 ;0.49 ;0.37 ;2.70 ;12.3,
11/2017;0.18 ;-0.38 ;1.27 ;0.52 ;0.12 ;2.80 ;12.1,
12/2017;0.26 ;0.54 ;-0.40 ;1.23 ;0.60 ;2.95 ;11.9,
01/2018;0.23 ;0.74 ;-0.85 ;1.10 ;0.16 ;2.86 ;12.3,
02/2018;0.18 ;-0.33 ;0.22 ;0.74 ;0.74 ;2.84 ;12.7,
03/2018;0.07 ;0.07 ;0.19 ;-0.25 ;0.08 ;2.68 ;13.2,
04/2018;0.21 ;0.09 ;0.17 ;0.00 ;0.03 ;2.76 ;13.0,
05/2018;0.43 ;0.32 ;0.83 ;0.40 ;-0.09 ;2.86 ;12.8,
06/2018;1.43 ;2.03 ;2.48 ;1.58 ;0.26 ;4.39 ;12.6,
07/2018;0.25 ;-0.12 ;1.54 ;0.49 ;0.68 ;4.48 ;12.4,
08/2018;0.00 ;-0.34 ;0.44 ;-1.22 ;-0.16 ;4.19 ;12.3,
09/2018;0.30 ;0.10 ;0.37 ;1.69 ;0.40 ;4.53 ;12.0,
10/2018;0.40 ;0.59 ;0.14 ;0.92 ;0.17 ;4.56 ;11.9,
11/2018;-0.25 ;0.39 ;-0.71 ;-0.74 ;0.41 ;4.05 ;11.7,
12/2018;0.14 ;0.44 ;-0.15 ;-0.54 ;0.62 ;3.75 ;11.7,
01/2019;0.36 ;0.90 ;0.24 ;0.02 ;0.51 ;3.78 ;12.2,
02/2019;0.54 ;0.78 ;0.38 ;-0.34 ;0.39 ;3.89 ;12.6,
03/2019;0.77 ;1.37 ;0.25 ;1.44 ;0.33 ;4.58 ;12.8,
04/2019;0.60 ;0.63 ;0.24 ;0.94 ;0.32 ;4.94 ;12.6,
05/2019;0.15 ;-0.56 ;0.98 ;0.07 ;-0.11 ;4.66 ;12.4,
06/2019;0.01 ;-0.25 ;0.07 ;-0.31 ;0.34 ;3.37 ;12.1,
07/2019;0.10 ;0.01 ;1.20 ;-0.17 ;0.46 ;3.22 ;12.0,
08/2019;0.12 ;-0.35 ;1.19 ;-0.39 ;0.07 ;3.43 ;11.9,
09/2019;-0.05 ;-0.43 ;0.02 ;0.00 ;0.04 ;2.89 ;11.9,
10/2019;0.04 ;0.05 ;-0.61 ;0.45 ;0.19 ;2.54 ;11.8,
11/2019;0.54 ;0.72 ;0.71 ;0.30 ;0.20 ;3.27 ;11.3,
12/2019;1.22 ;3.38 ;-0.82 ;1.54 ;0.73 ;4.31 ;11.1,
01/2020;0.19 ;0.39 ;0.55 ;0.32 ;0.28 ;4.19 ;11.4,
02/2020;0.17 ;0.11 ;-0.39 ;-0.23 ;0.68 ;4.01 ;11.8,
03/2020;0.18 ;1.13 ;0.13 ;-0.90 ;-0.14 ;3.30 ;12.4,
04/2020;-0.23 ;1.79 ;-0.10 ;-2.66 ;0.25 ;2.40 ;12.7,
05/2020;-0.25 ;0.24 ;-0.25 ;-1.90 ;-0.45 ;1.88 ;13.1,
06/2020;0.30 ;0.38 ;0.04 ;0.31 ;-0.26 ;2.13 ;13.6,
07/2020;0.44 ;0.01 ;0.80 ;0.78 ;-0.10 ;2.31 ;14.1,
08/2020;0.36 ;0.78 ;0.36 ;0.82 ;-0.47 ;2.44 ;14.8,
09/2020;0.87 ;2.28 ;0.37 ;0.70 ;0.17 ;3.14 ;14.9,
10/2020;0.89 ;1.93 ;0.36 ;1.19 ;0.55 ;3.92 ;14.6,
11/2020;0.95 ;2.54 ;0.44 ;1.33 ;0.39 ;4.31 ;14.4,
12/2020;1.46 ;1.74 ;2.88 ;1.36 ;0.83 ;4.52 ;14.2,
01/2021;0.27 ;1.02 ;-1.07 ;0.41 ;0.07 ;4.56 ;14.5,
02/2021;0.82 ;0.27 ;0.40 ;2.28 ;0.55 ;5.20 ;14.6,
03/2021;0.86 ;0.13 ;0.81 ;3.81 ;0.12 ;6.10 ;14.9,
04/2021;0.38 ;0.40 ;0.22 ;-0.08 ;0.05 ;6.76 ;14.8,
05/2021;0.96 ;0.44 ;1.78 ;1.15 ;-0.15 ;8.06 ;14.7,
06/2021;0.60 ;0.43 ;1.10 ;0.41 ;0.23 ;8.35 ;14.2,
07/2021;1.02 ;0.60 ;3.10 ;1.52 ;0.67 ;8.99 ;13.7,
08/2021;0.88 ;1.39 ;0.68 ;1.46 ;0.39 ;9.68 ;13.1,
09/2021;1.20 ;1.02 ;2.56 ;1.82 ;0.63 ;10.25 ;12.6,
10/2021;1.16 ;1.17 ;1.04 ;2.62 ;1.04 ;10.67 ;12.1,
11/2021;0.84 ;-0.04 ;1.03 ;3.35 ;0.27 ;10.74 ;11.6,
12/2021;0.73 ;0.84 ;0.74 ;0.58 ;0.79 ;10.06 ;11.1,
01/2022;0.67 ;1.11 ;0.16 ;-0.11 ;0.39 ;10.38 ;11.2,
02/2022;1.00 ;1.28 ;0.54 ;0.46 ;1.36 ;10.54 ;11.2,
